filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
.\command_injection.py,start_process_with_a_shell,B605,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"Starting a process with a shell, possible injection detected, security issue.",4,4,22,[4],https://bandit.readthedocs.io/en/1.7.8/plugins/b605_start_process_with_a_shell.html
.\compliance_check.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,4,0,17,[4],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_imports.html#b404-import-subprocess
.\compliance_check.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,22,15,54,[22],https://bandit.readthedocs.io/en/1.7.8/plugins/b113_request_without_timeout.html
.\compliance_check.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,49,15,49,[49],https://bandit.readthedocs.io/en/1.7.8/plugins/b113_request_without_timeout.html
.\compliance_check.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,59,13,68,[59],https://bandit.readthedocs.io/en/1.7.8/plugins/b603_subprocess_without_shell_equals_true.html
.\eval_usage.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,2,11,27,[2],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_calls.html#b307-eval
.\insecure_deserialization.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,1,0,13,[1],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_imports.html#b403-import-pickle
.\insecure_deserialization.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",4,11,29,[4],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_calls.html#b301-pickle
.\insecure_hash.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,Use of weak MD5 hash for security. Consider usedforsecurity=False,4,11,41,[4],https://bandit.readthedocs.io/en/1.7.8/plugins/b324_hashlib.html
.\insecure_randomness.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,4,11,33,[4],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_calls.html#b311-random
.\repo_files\command_injection.py,start_process_with_a_shell,B605,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"Starting a process with a shell, possible injection detected, security issue.",4,4,22,[4],https://bandit.readthedocs.io/en/1.7.8/plugins/b605_start_process_with_a_shell.html
.\repo_files\compliance_check.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,4,0,17,[4],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_imports.html#b404-import-subprocess
.\repo_files\compliance_check.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,22,15,54,[22],https://bandit.readthedocs.io/en/1.7.8/plugins/b113_request_without_timeout.html
.\repo_files\compliance_check.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,49,15,49,[49],https://bandit.readthedocs.io/en/1.7.8/plugins/b113_request_without_timeout.html
.\repo_files\compliance_check.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,59,13,68,[59],https://bandit.readthedocs.io/en/1.7.8/plugins/b603_subprocess_without_shell_equals_true.html
.\repo_files\eval_usage.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,2,11,27,[2],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_calls.html#b307-eval
.\repo_files\insecure_deserialization.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,1,0,13,[1],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_imports.html#b403-import-pickle
